text,translation,in_toxic,toxicity,time,time_prediction,time_translation
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,!!!!!!!!!!!! RT @ShenikaRoberts: Lo que escuchas sobre mí puede ser cierto o puede ser más falso que la perra que te lo contó ,True,0.9696111083030701,1.5758638381958008,0.8489940166473389,0.7268686294555664
"@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e" he's a pussy with not tattooing them nipples,&quot;@BestProAdvice: Los hechos sobre los tatuajes... tatuaje http://t.co/ZwnbhpDZ8e&quot; es un marica sin tatuarse los pezones,True,0.9290384650230408,0.7862768173217773,0.019999027252197266,0.7662768363952637
"@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1" this bitch need to go!!!,&quot;@CHlLDHOODRUINER: cuando tu profesor te dice que tienes tarea https://t.co/RKk5vawIj1&quot; ¡Esta perra tiene que irse!,True,0.9872029423713684,0.6323843002319336,0.021022558212280273,0.6113612651824951
"@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving" lmmfao &#128514;&#128514;&#128514;&#128514;,&quot;@GTM_Al: Tu perra lateral tiene que saber las reglas de esta mierda... alguien te pregunta mi prima de Jersey pensando en mudarse&quot; lmmfao 😂😂😂😂,True,0.9804611802101135,0.6556673049926758,0.019829511642456055,0.6358368396759033
"@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!"lmfao,&quot;@Gizzy_Jones94: ¡Si te besa con los ojos abiertos mira a esa perra!&quot; lmfao,True,0.9925164580345154,0.6533710956573486,0.014997482299804688,0.6383731365203857
"@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;",&quot;@HBMostDope: Las perras feas son como si yo fuera mi propia perra de WCW no eres nadie más 😂😂&quot;,True,0.996383547782898,0.7049477100372314,0.04764127731323242,0.6573059558868408
"@JasminePore: If you dressed up as a cat for Halloween you are basic." ...or a pussy,&quot;@JasminePore: Si te disfrazaste de gato para Halloween eres básico&quot;. ... o un coño,True,0.8800568580627441,0.6560807228088379,0.04579591751098633,0.6102838516235352
"@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo" @Pornhub get on it Katie&lt;3,&quot;@Jewelxo: ¿Puede Pornhub simplemente obtener una función de transmisión de juegos para que estas perras tontas puedan gtfo&quot; @Pornhub ponte manos a la obra Katie &lt;3,True,0.952389121055603,0.6406970024108887,0.04878854751586914,0.5919075012207031
"@KazAtta: @1TAKEHOV Oh man.. "its 5 am you off a molly ho where the fuck ya seed at??"" #fixed,&quot;@KazAtta: @1TAKEHOV Oh hombre... &quot;son las 5 a.,True,0.9854604601860046,0.6986942291259766,0.04671335220336914,0.6519796848297119
"@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo." ...sounding like me over there lol,&quot;@LeBronVuitton: Una perra leal de los suburbios sin problemas con su padre es como encontrar un Mewtwo holográfico&quot;. ... sonando como yo allí lol,True,0.8538893461227417,0.6761453151702881,0.07215476036071777,0.6039900779724121
